Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Tyler Conklin (15677781),Tyler Conklin,15677781,TE/FLEX,2500,MIN@GB 11/01/2020 01:00PM ET,MIN,0
TE,Jace Sternberger (15677783),Jace Sternberger,15677783,TE/FLEX,2500,MIN@GB 11/01/2020 01:00PM ET,GB,2.78
TE,Marcedes Lewis (15677785),Marcedes Lewis,15677785,TE/FLEX,2500,MIN@GB 11/01/2020 01:00PM ET,GB,2.42
TE,Josiah Deguara (15677787),Josiah Deguara,15677787,TE/FLEX,2500,MIN@GB 11/01/2020 01:00PM ET,GB,1.1
TE,John Lovett (15677789),John Lovett,15677789,TE/FLEX,2500,MIN@GB 11/01/2020 01:00PM ET,GB,0
TE,Adam Trautman (15677765),Adam Trautman,15677765,TE/FLEX,2500,NO@CHI 11/01/2020 04:25PM ET,NO,1.28
TE,Josh Hill (15677767),Josh Hill,15677767,TE/FLEX,2500,NO@CHI 11/01/2020 04:25PM ET,NO,1.07
TE,Zach Wood (15677769),Zach Wood,15677769,TE/FLEX,2500,NO@CHI 11/01/2020 04:25PM ET,NO,0
TE,Cole Kmet (15677771),Cole Kmet,15677771,TE/FLEX,2500,NO@CHI 11/01/2020 04:25PM ET,CHI,2.67
TE,Demetrius Harris (15677773),Demetrius Harris,15677773,TE/FLEX,2500,NO@CHI 11/01/2020 04:25PM ET,CHI,1.64
TE,J.P. Holtz (15677775),J.P. Holtz,15677775,TE/FLEX,2500,NO@CHI 11/01/2020 04:25PM ET,CHI,0
TE,Darion Clark (15677777),Darion Clark,15677777,TE/FLEX,2500,NO@CHI 11/01/2020 04:25PM ET,CHI,0
TE,Patrick Scales (15677779),Patrick Scales,15677779,TE/FLEX,2500,NO@CHI 11/01/2020 04:25PM ET,CHI,0
TE,Vance McDonald (15677691),Vance McDonald,15677691,TE/FLEX,2500,PIT@BAL 11/01/2020 01:00PM ET,PIT,2.78
TE,Zach Gentry (15677763),Zach Gentry,15677763,TE/FLEX,2500,PIT@BAL 11/01/2020 01:00PM ET,PIT,0
TE,MyCole Pruitt (15677749),MyCole Pruitt,15677749,TE/FLEX,2500,TEN@CIN 11/01/2020 01:00PM ET,TEN,3.57
TE,Geoff Swaim (15677751),Geoff Swaim,15677751,TE/FLEX,2500,TEN@CIN 11/01/2020 01:00PM ET,TEN,1
TE,Beau Brinkley (15677753),Beau Brinkley,15677753,TE/FLEX,2500,TEN@CIN 11/01/2020 01:00PM ET,TEN,0
TE,Cethan Carter (15677755),Cethan Carter,15677755,TE/FLEX,2500,TEN@CIN 11/01/2020 01:00PM ET,CIN,0.75
TE,Mason Schreck (15677757),Mason Schreck,15677757,TE/FLEX,2500,TEN@CIN 11/01/2020 01:00PM ET,CIN,0
TE,C.J. Uzomah (15677759),C.J. Uzomah,15677759,TE/FLEX,2500,TEN@CIN 11/01/2020 01:00PM ET,CIN,11.35
TE,Clark Harris (15677761),Clark Harris,15677761,TE/FLEX,2500,TEN@CIN 11/01/2020 01:00PM ET,CIN,0
